Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,21/02/2018 02:29:27,15738,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,127.0809506,15738.0,0.0,15738,15738,15738,15738.0,0.0,15738,15738,0,0.0,0.0,0,0,0,0,0,0,40,0,127.0809506,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
80,6,21/02/2018 02:33:27,1283,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1558.846454,1283.0,0.0,1283,1283,1283,1283.0,0.0,1283,1283,0,0.0,0.0,0,0,0,0,0,0,40,0,1558.846454,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
54526,6,21/02/2018 02:24:37,1183,5,2,935,314,935,0,187.0,418.1447118,314,0,157.0,222.0315293,1055790.363,5917.159763,197.1666667,254.3080153,662,6,1183,295.75,435.5987259,933,6,662,662.0,0.0,662,662,0,0,0,0,124,40,4226.542688,1690.617075,0,935,156.125,333.3425683,111117.2679,0,0,1,1,0,0,0,1,0,178.4285714,187.0,157.0,0,0,0,0,0,0,5,935,2,314,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
57481,6,21/02/2018 02:25:49,2197,5,2,935,339,935,0,187.0,418.1447118,339,0,169.5,239.7091988,579881.6568,3186.162949,366.1666667,633.376481,1638,6,2197,549.25,909.0542246,1904,6,1638,1638.0,0.0,1638,1638,0,0,0,0,124,40,2275.830678,910.3322713,0,935,159.25,335.1463433,112323.0714,0,0,1,1,0,0,0,1,0,182.0,187.0,169.5,0,0,0,0,0,0,5,935,2,339,65535,32768,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
80,6,21/02/2018 02:27:47,701,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2853.067047,701.0,0.0,701,701,701,701.0,0.0,701,701,0,0.0,0.0,0,0,0,0,0,0,40,0,2853.067047,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
80,6,21/02/2018 02:27:50,2004,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,998.003992,2004.0,0.0,2004,2004,2004,2004.0,0.0,2004,2004,0,0.0,0.0,0,0,0,0,0,0,40,0,998.003992,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
80,6,21/02/2018 02:16:43,8352,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,239.4636015,8352.0,0.0,8352,8352,8352,8352.0,0.0,8352,8352,0,0.0,0.0,0,0,0,0,0,0,40,0,239.4636015,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
80,6,21/02/2018 02:18:43,1947,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1027.221366,1947.0,0.0,1947,1947,1947,1947.0,0.0,1947,1947,0,0.0,0.0,0,0,0,0,0,0,40,0,1027.221366,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
80,6,21/02/2018 02:32:47,561,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3565.062389,561.0,0.0,561,561,561,561.0,0.0,561,561,0,0.0,0.0,0,0,0,0,0,0,40,0,3565.062389,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
80,6,21/02/2018 02:31:53,744,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2688.172043,744.0,0.0,744,744,744,744.0,0.0,744,744,0,0.0,0.0,0,0,0,0,0,0,40,0,2688.172043,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,DDOS attack-HOIC
